編號,老師姓名,全銜,系所,負責計畫,場域,執行時間,計畫議題,SDGs關聯議題,第一期,第二期,第三期,第四期
1,林子平,教授,成大建築系,調適與連結南部濱海地區環境變遷下的行動方案計畫主持人,"台南市 ，北門區、北門里、三寮灣、蘆竹溝
台南市、將軍區、廣三里、將軍里、相交 蘆 筍園
台南市、七股區、三股社區、龍山社區",107,,,V,,,
2,張懿,教授,成大水利系,調適與連結南部濱海地區環境變遷下的行動方案計畫協同主持人,,107,,,V,,,
3,蕭士俊,副所長,水利及海洋工程系主任兼水工試驗所,調適與連結南部濱海地區環境變遷下的行動方案計畫協同主持人2,,107,,,V,,,
4,江文山,副所長,水工試驗所,調適與連結南部濱海地區環境變遷下的行動方案計畫協同主持人3,,107,,,V,,,
5,薛丞倫,副教授,成大建築系,調適與連結南部濱海地區環境變遷下的行動方案計畫協同主持人4,,107,,,V,,,
1,蔣鎮宇,教授兼主任,生物科技中心,以微生物科技導入台南市大溪北地區的智慧新農業計畫主持人,"台南市、後壁區、新東國小、蘭花園區、相伴工坊
台南市、白河區、木成香菇
台南市、柳營區、神農里關懷據點
台南市、新營區 ，樂仁幼稚園
台南市、東山區、南方森林
台南市、麻豆區、曾文農工",107,在地關懷,"1.1,1.5 ,2.3,2.4,4.3,8.9,12.2 ,15.1,15.3",V,,,
2,江友中,教授兼主任,中山大學生物科學系,以微生物科技導入台南市大溪北地區的智慧新農業計畫協同主持人,,,,,V,,,
1,林從一,副校長,成功大學,永續城鄉營造社會創新型 U SR 資源中心建構計畫主持人,"





台南市 、台南市中西區、 台南市北區、台南市安平區、舊城
台南市、官田區、官田
台南市、歸仁區、歸仁
屏東縣、竹田鄉、竹田",107,在地關懷,目標二、目標十一、目標十二,V,,,
2,陳世明,副主任,成功大學人文社會科學中心,永續城鄉營造社會創新型 U SR 資源中心建構計畫協同主持人1,,107,,,V,,,
3,劉世南,所長,成功大學創意產業設計研究所,永續城鄉營造社會創新型 U SR 資源中心建構計畫協同主持人2,,107,,,V,,,
